,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10,Company/Brand,What it does,Amount($),Company Name,Industry,Round/Series,Location,About Company
397,,,,,,,,"$37,680,000",,,,,,WalMart India,Retail,Venture - Series Unknown,"Gurgaon, Haryana, India","Wal-Mart India Private Limited is a wholly owned subsidiary of Walmart Stores Inc.,"
398,,,,,,,,—,,,,,,Cred,—,Seed,"Bengaluru, Karnataka, India",Cred is a platform to celebrate and reward the most creditworthy people of India.
399,,,,,,,,"$50,000,000",,,,,,Meesho,"E-Commerce, E-Commerce Platforms, Internet, Mobile Apps, Social Media",Series C,"Bangalore, Karnataka, India","Meesho is an online reseller network of housewives and SMBs, who sell products within their network on social channels."
400,,,,,,,,"$1,000,000",,,,,,BhaskarGuru,Search Engine,Seed,"Bhopal, Madhya Pradesh, India",Bhaskarguru.com is your local search Engine
401,,,,,,,,"$250,000",,,,,,Gugu,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,"Coimbatore, Tamil Nadu, India",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India.
402,,,,,,,,—,,,,,,FarmTaaza,"Agriculture, Farmers Market, Farming",Series A,"Bengaluru, Karnataka, India",Farm Taaza provides expert advice to the farmers on improving the yield and improving the field operations of the farmer.
403,,,,,,,,"$20,000",,,,,,Vizzbee,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,"Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue
404,,,,,,,,"$900,000",,,,,,BIGPHI TECHNOLOGIES PVT. LTD.,Fashion,Angel,"Bangalore, Karnataka, India",BIGPHI technologies is the India's first technologically advanced apparel and wearable company.
405,,,,,,,,—,,,,,,Mobycy,"Fitness, GreenTech, Internet of Things, Mobile Apps, Ride Sharing, Transportation",Angel,"Gurgaon, Haryana, India",India's 1st Dockless Bicycle Sharing App
406,,,,,,,,"₹1,200,000",,,,,,Traveo Soft Pvt. Ltd.,"Mobile, Software, Travel",Undisclosed,"Bangalore, Karnataka, India",AI based Business Travel & Expense management
407,,,,,,,,—,,,,,,Em Personal Care,Cosmetics,Seed,"Worli, Maharashtra, India",Em Personal Care is a Cosmetic products manufacturing Company.
408,,,,,,,,5000000,,,,,,Lucideus,"Consulting, Cyber Security, Network Security",Venture - Series Unknown,"New Delhi, Delhi, India","Lucideus is a cybersecurity company that offers its customers with consultancy, training, and solutions to counteract cyber-attacks."
409,,,,,,,,—,,,,,,Eupheus Learning,"E-Learning, EdTech, Education",Seed,"Delhi, Delhi, India",Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India.
410,,,,,,,,"₹40,000,000",,,,,,GamingMonk,"eSports, Gaming, Video Games",Series A,"New Delhi, Delhi, India","GamingMonk is an eSports gaming company based out of New Delhi, India."
411,,,,,,,,"₹510,000,000",,,,,,Sukkhi Jewellery,"Fashion, Jewelry",Venture - Series Unknown,"Mumbai, Maharashtra, India",Sukkhi Jewellery is a Contemporary fashion jewellery brand.
412,,,,,,,,"₹2,200,000,000",,,,,,INDwealth,Financial Services,Seed,"Gurgaon, Haryana, India",INDwealth is an Artificial Intelligence (AI) powered wealth management company
413,,,,,,,,5000000,,,,,,Medikabazaar,"B2B, Medical Device",Series A,"Mumbai, Maharashtra, India",India's largest medical and surgical supplies marketplace
414,,,,,,,,1000000,,,,,,NIRA,"Credit, Financial Services, FinTech, Lending",Seed,"Bangalore, Karnataka, India","NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom."
415,,,,,,,,22000000,,,,,,Duroflex Pvt. Ltd.,"Consumer Goods, Manufacturing",Private Equity,"Alleppey, Kerala, India",Duroflex Pvt. Ltd. operates as a dominant mattress player.
416,,,,,,,,—,,,,,,Clensta,"Biotechnology, Health Care, Wellness",Seed,"New Delhi, Delhi, India",A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.
417,,,,,,,,70000,,,,,,Jetbrain Robotics,"Health Care, Hospital, Medical, Robotics",Seed,"Gurgaon, Haryana, India","Jetbrain Robotics is Hong Kong / Gurgaon based company, building advanced robotic transportation solutions for multi speciality hospitals."
418,,,,,,,,—,,,,,,Medimetry,Health Care,Seed,"Haryana, Haryana, India","MediMetry is an online platform where patients can consult specialists doctors online - from anywhere, at anytime."
419,,,,,,,,10000000,,,,,,Healthkart,"E-Commerce, Fitness, Health Care",Venture - Series Unknown,"Gurgaon, Haryana, India","The one stop shop for health, fitness & beauty."
420,,,,,,,,"₹15,392,000,000",,,,,,Indiabulls Ventures,"Financial Services, Venture Capital",Post-IPO Equity,"Mumbai, Maharashtra, India",Indiabulls Ventures Limited is one of India’s leading capital market companies providing securities and derivative broking services.
421,,,,,,,,"₹20,000,000,000",,,,,,Vistara,Aerospace,Private Equity,"Haryana, Haryana, India",Vistara is a joint venture of Tata Sons Limited and Singapore Airlines Limited (SIA)
422,,,,,,,,"₹4,000,000,000",,,,,,ClearTax,"Accounting, Apps, FinTech",Series B,"New Delhi, Delhi, India",ClearTax India helps individuals prepare and e-file their Income Tax Return online.
423,,,,,,,,1000000,,,,,,Shuttl,"Apps, Mobile, Transportation",Debt Financing,"Gurgaon, Haryana, India","Shuttl provides an app-based office shuttle service to make daily commute safe, reliable, affordable and dignified for everyone."
424,,,,,,,,"₹25,000,000",,,,,,GuruQ,Reading Apps,Seed,"New Delhi, Delhi, India",A one of its kind digital integrated platform connecting tutors and students.
425,,,,,,,,185000000,,,,,,Azure Power,"Energy, Renewable Energy, Solar",Post-IPO Equity,"New Delhi, Delhi, India","Azure Power produces and distributes solar power to commercial, government, and utility customers in India."
426,,,,,,,,"₹140,000,000",,,,,,Cube,"Banking, Financial Services, FinTech",Series A,"Mumbai, Maharashtra, India",Cube is consumer banking focused fintech company.
427,,,,,,,,—,,,,,,RAHI Care,"Health Care, Hospital",Venture - Series Unknown,"Chandigarh, Chandigarh, India",RAHI Care is a Health Care company.
428,,,,,,,,—,,,,,,Mynvax,Biotechnology,Angel,"Bangalore, Karnataka, India",Mynvax is a biotech Company.
429,,,,,,,,—,,,,,,Loans4SME,Financial Services,Seed,"Mumbai, Maharashtra, India",Loans4SME is an alternative lending platform.
430,,,,,,,,—,,,,,,UpCyclersLab,"Apps, Education, Retail",Seed,"Mumbai, Maharashtra, India",UpCyclersLab is a startup that makes sustainability-based learning tools for children above the age of five.
431,,,,,,,,—,,,,,,Cellerite Systems,Electric Vehicle,Seed,"Hyderabad, Andhra Pradesh, India",Cellerite Systems is a charging solutions provider for electric vehicles.
432,,,,,,,,—,,,,,,Taru Naturals,"Agriculture, Farming",Seed,"Mumbai, Maharashtra, India",Taru Naturals is a network that connects farmer communities with clean technology and renewable energy.
433,,,,,,,,1000000,,,,,,LetsMD,"Fitness, Health Care, Wellness",Seed,"New Delhi, Delhi, India",LetsMD.com is a marketplace for elective surgeries
434,,,,,,,,65000000,,,,,,Twenty Two Motors,"Automotive, Battery, Electric Vehicle, Manufacturing, Mechanical Design",Corporate Round,"Haryana, Haryana, India",Twenty Two Motors aim of making cutting edge EV technology affordable for the current generation.
435,,,,,,,,2000000,,,,,,Truebil,"Automotive, E-Commerce, Marketplace",Series A,"Mumbai, Maharashtra, India","Truebil is a team of young, highly motivated professionals who strive to help you buy and sell used cars in the simplest way possible."
436,,,,,,,,—,,,,,,FarmersFZ,Agriculture,Seed,"Kochi, Kerala, India",FarmersFZ is an online venture for fresh and safe vegetables and agri products.
437,,,,,,,,"₹165,000,000",,,,,,Worxogo,Information Technology,Series A,"Bangalore, Karnataka, India",worxogo’s is a pioneering persuasive technology products align employee behaviours .
438,,,,,,,,"₹650,000,000",,,,,,Vivish Technologies (myGate),"Apps, Information Services, Information Technology",Series A,"Bengaluru, Karnataka, India",India's leading mobile based security management solution .
439,,,,,,,,—,,,,,,Singularity Dynamics,Artificial Intelligence,Seed,"Bengaluru, Karnataka, India",Singularity Dynamics is a Chip-design testing startup.
440,,,,,,,,700000,,,,,,Virtual MetalStreet(MetalStreet),"B2B, Marketplace",Angel,"Bengaluru, Karnataka, India",Virtual MetalStreet(Metalstreet) is a B2B marketplace for steel trading in India
441,,,,,,,,30000000,,,,,,Veritas Finance,Financial Services,Venture - Series Unknown,"Guindy, Tamil Nadu, India",Veritas Finance has been promoted with a primary purpose of meeting the working capital and business credit requirements of the small bus.
442,,,,,,,,—,,,,,,Manjushree Technopack,Packaging Services,Private Equity,"Bangalore, Karnataka, India",Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia.
443,,,,,,,,"₹210,000,000",,,,,,GoZefo,"Computer, Furniture, Software",Venture - Series Unknown,"Bangalore, Karnataka, India",Startup working on a white space in the eCommerce industry.
444,,,,,,,,210000000,,,,,,Zomato,"Food Delivery, Hospitality, Reservations, Restaurants, Search Engine",Secondary Market,"Gurgaon, Haryana, India",Zomato is a search app offering detailed information for restaurants as well as online food delivery.
445,,,,,,,,4000000,,,,,,Innov8 Coworking,"Collaboration, Communities, Coworking, Real Estate",Seed,"New Delhi, Delhi, India",Innov8 is a Y- Combinator backed company that offers coworking and shared office spaces.
446,,,,,,,,—,,,,,,RevFin,"Accounting, Banking, Finance",Seed,"Delhi, Delhi, India",RevFin is a digital lending company.
447,,,,,,,,"₹20,000,000",,,,,,Lavelle Networks,"Cloud Computing, Enterprise Software, Network Hardware, Network Security, SaaS",Venture - Series Unknown,"Bengaluru, Karnataka, India",Lavelle Networks provides Software Defined WAN (SD-WAN) Solutions to build end to end Enterprise Networking Platforms for tomorrow
448,,,,,,,,"₹2,029,600,000",,,,,,Blackbuck,"Information Services, Internet, Logistics, Supply Chain Management, Transportation",Series D,"Bengaluru, Karnataka, India",Blackbuck is a logistics startup based in India.
449,,,,,,,,75000000,,,,,,Cardekho,"Automotive, E-Commerce, Information Services",Series C,"Gurgaon, Haryana, India",Cardekho is a car search venture that helps users buy cars that are right for them.
450,,,,,,,,"₹600,000,000",,,,,,ElasticRun,"Delivery, Logistics, Transportation",Series B,"Pune, Maharashtra, India",ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers in India.
451,,,,,,,,30000000,,,,,,Droom Technology Private Limited,"Automotive, E-Commerce Platforms, Marketplace",Series E,"Gurgaon, Haryana, India",Droom is a marketplace for automobiles and automobile services.
452,,,,,,,,"₹80,000,000",,,,,,Vogo Rentals,"Last Mile Transportation, Railroad, Transportation, Travel",Debt Financing,"Kormangala, Karnataka, India",Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips.
453,,,,,,,,1760000,,,,,,InnerChef,"Cooking, E-Commerce, Food and Beverage, Food Delivery, Online Portals",Venture - Series Unknown,"Gurgaon, Haryana, India",InnerChef is an online food discovery and delivery experience that will make the foodie in you come alive.
454,,,,,,,,2700000,,,,,,LivQuik,"FinTech, Mobile, Mobile Payments, Payments, Retail Technology",Corporate Round,"Mumbai, Maharashtra, India",LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world
455,,,,,,,,400000,,,,,,Disprz,"E-Learning, Education",Debt Financing,"Chennai, Tamil Nadu, India","Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do."
456,,,,,,,,"₹280,000,000",,,,,,9stacks,"Online Games, Software",Series A,"Delhi, Delhi, India",Online gaming startup.
457,,,,,,,,"₹800,000,000",,,,,,Origo,—,Venture - Series Unknown,"Gurgaon, Haryana, India","Origo Commodities, a complete post-harvest management services for agricultural commodities, is the fastest growing company in its sector."
458,,,,,,,,750000,,,,,,YourOwnROOM,"Online Portals, Property Management, Rental",Seed,"Bangalore, Karnataka, India","Good quality, strategically located homes closer to work for millennials"
459,,,,,,,,2500000,,,,,,Vahdam Teas,"E-Commerce, Food and Beverage, Tea",Series B,"New Delhi, Delhi, India",Vahdam Teas is a vertically integrated online-first tea brand that sources premium garden fresh teas direct from over 150+ tea plantations.
460,,,,,,,,—,,,,,,Spoofin,"Music, Social Network, Video",Venture - Series Unknown,"New Delhi, Delhi, India",A social networking app that lets you create and view Spoofs of your favourite videos.
461,,,,,,,,—,,,,,,Strom Motors,Automotive,Angel,"Mumbai, Maharashtra, India",Strom Motors is a smart urban mobility Company.
462,,,,,,,,80000000,,,,,,PharmEasy,"Health Care, Pharmaceutical, Wellness",Series C,"Mumbai, Maharashtra, India",PharmEasy - Indias largest healthcare delivery platform
463,,,,,,,,25000000,,,,,,Licious,"Delivery Service, Food and Beverage, Food Delivery",Series C,"Bengaluru, Karnataka, India","Licious is an online meat and fish ordering startup that solves existing problem of finding safe, delectable, trustworthy fresh meat."
464,,,,,,,,"₹730,000,000",,,,,,Stanza Living,"Hospitality, Information Technology, Travel Accommodations",Venture - Series Unknown,"New Delhi, Delhi, India",Stanza Living is a co-living platform created for students moving to a new place.
465,,,,,,,,—,,,,,,docturnal,"Biotechnology, Diabetes, Health Care",Seed,"Hyderabad, Andhra Pradesh, India","Docturnal, an online platform, enables individuals to find information and diagnostic services related to diabetes, cancer, and more."
466,,,,,,,,3000000,,,,,,Bounce (Metro Bikes),"Autonomous Vehicles, Last Mile Transportation, Recreational Vehicles, Rental",Debt Financing,"Bangalore, Karnataka, India","Bounce (formerly Metro Bikes) is an urban mobility solution that makes daily commute stress-free, time-saving, reliable, and convenient."
467,,,,,,,,—,,,,,,Technology 9 Labs (T9L),Information Technology,Corporate Round,"New Delhi, Delhi, India",Technology 9 Labs is an Information Technology and Services company.
468,,,,,,,,3500000,,,,,,Goals101,Financial Services,Seed,"Delhi, Delhi, India",Goals101 is a one of the fastest growing big-data platforms.
469,,,,,,,,"₹400,000,000",,,,,,Satya MicroCapital,"Finance, Financial Exchanges, Financial Services, Micro Lending",Venture - Series Unknown,"New Delhi, Delhi, India",New Delhi-based non-banking financial company.
470,,,,,,,,"₹600,000,000",,,,,,Ummeed Housing Finance Private Limited,"Finance, Financial Services",Series C,"Haryana, Haryana, India",Ummeed Housing Finance Private Limited
471,,,,,,,,1100000,,,,,,StockEdge,"Analytics, Apps, Market Research",Seed,"Kolkata, West Bengal, India","StockEdge is a unique platform, which is 100% focused on research and analytics"
472,,,,,,,,3700000,,,,,,Sequretek,—,Venture - Series Unknown,"Mumbai, Maharashtra, India",Sequretek is a cyber security start-up.
473,,,,,,,,1300000,,,,,,Avenues Payments India Pvt. Ltd.,—,Corporate Round,"Mumbai, Maharashtra, India",Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.
